Chord,Offset,Duration
Cm,0.0,0.0
F7,2.0,0.0
Fm,0.0,0.0
B-7,2.0,0.0
E-,0.0,0.0
B-,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
B-,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
Dm,0.0,0.0
G7,2.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
Fm,0.0,0.0
B-7,2.0,0.0
E-,0.0,0.0
Edim,2.0,0.0
B-,0.0,0.0
B-,0.0,0.0
D7,0.0,0.0
D7,0.0,0.0
G7,0.0,0.0
G7,0.0,0.0
C7,0.0,0.0
C7,0.0,0.0
Cm,0.0,0.0
F7,0.0,0.0
B-,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
B-,0.0,0.0
G7,2.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
Fm,0.0,0.0
B-7,2.0,0.0
E-,0.0,0.0
E-m,2.0,0.0
B-,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
B-,0.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
Dm,0.0,0.0
G7,2.0,0.0
Cm,0.0,0.0
F7,2.0,0.0
Fm,0.0,0.0
B-7,2.0,0.0
E-,0.0,0.0
